current_year,affiliation,timing,plot_id,count,missing,status (pth 12.8.25),,canopy height (cm),,,status (pth 12.8.25),notes
2025,AL01,1,AUOatPea402.1,4,biomass,added biomass,,,,,"find image, not on tablet but taken","these are images that were taken, have biomass weights but can not be found, need to look some more"
2025,AL01,1,AUOatPea403.1,4,biomass,added biomass,,,,,2025-07-15_T3_2.1,"resercher images were used for this timepoint, canopy  / quadrat height is listed"
2025,AL01,1,AUOatPea404.1,4,biomass,added biomass,,,,,added biomass,"added biomass to google sheet, used ""Update 12.4.25"" as affiliation"
2025,AL01,1,AUOatPea405.1,4,biomass,remove,,,,,remove,these are tests or missfires that can be omited
2025,AL01,1,AUOatPea406.3,4,biomass,remove,,,,,"used biomass, remove","I used the biomass weights for ""added biomass"" and these can be omited"
2025,AL01,1,AUOatPea418.2,4,biomass,added biomass,,,,,good,all good keep as is
2025,AL01,1,AUOatPea402.3,2,image,"used biomass, remove",,,,,,
2025,AL01,1,AUOatPea403.2,1,image,"used biomass, remove",,,,,,
2025,AL01,1,AUOatPea404.3,1,image,"used biomass, remove",,,,,,
2025,AL01,1,AUOatPea417.3,1,image,"used biomass, remove",,,,,,
2025,AL01,1,AUOatPea401.1,4,complete,good,,,,,,
2025,AL01,1,AUOatPea405.3,8,complete,good,,,,,,
2025,AL01,1,AUOatPea406.2,8,complete,good,,,,,,
2025,AL01,1,AUOatPea407.1,8,complete,good,,,,,,
2025,AL01,1,AUOatPea408.1,4,complete,good,,,,,,
2025,AL01,1,AUOatPea409.2,8,complete,good,,,,,,
2025,AL01,1,AUOatPea410.1,8,complete,good,,,,,,
2025,AL01,1,AUOatPea411.3,4,complete,good,,,,,,
2025,AL01,1,AUOatPea412.2,4,complete,good,,,,,,
2025,AL01,1,AUOatPea413.3,8,complete,good,,,,,,
2025,AL01,1,AUOatPea414.3,8,complete,good,,,,,,
2025,AL01,1,AUOatPea415.2,4,complete,good,,,,,,
2025,AL01,1,AUOatPea416.2,4,complete,good,,,,,,
2025,AL01,1,AUOatPea417.1,8,complete,good,,,,,,
2025,AL01,1,AUOatPea419.1,8,complete,good,,,,,,
2025,AL01,1,AUOatPea420.3,4,complete,good,,,,,,
2025,AL01,2,20EXTRAPLOTS_401.2,1,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_402.2,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_403.1,1,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_404.2,1,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_405.2,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_406.1,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_407.3,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_408.2,1,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_409.1,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_410.2,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_411.1,1,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_412.1,1,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_413.2,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_414.1,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_415.3,1,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_416.1,1,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_417.2,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_418.3,1,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_419.2,2,image,"find image, not on tablet but taken",,,,,,
2025,AL01,2,20EXTRAPLOTS_420.2,1,image,"find image, not on tablet but taken",,,,,,
2025,IA01,1,1.2,4,complete,good,,,,,,
2025,IA01,1,10.1,8,complete,good,,,,,,
2025,IA01,1,11.2,8,complete,good,,,,,,
